p1,p2,p3,p4,p5,p6,p7,p8,rsi,rsi1,rsi2,rsi3,rsi4,rsi5,rsi6,rsi7,sto,sto1,sto2,sto3,sto4,sto5,sto6,sto7,macd,macd1,macd2,macd3,macd4,macd5,macd6,macd7,macdl,macd1l,macd2l,macd3l,macd4l,macd5l,macd6l,macd7l,macds,macd1s,macd2s,macd3s,macd4s,macd5s,macd6s,macd7s,stol,sto1l,sto2l,sto3l,sto4l,sto5l,sto6l,sto7l,stos,sto1s,sto2s,sto3s,sto4s,sto5s,sto6s,sto7s,Pred
7218.9275,7209.2675,7181.115,7189.7125,7174.0975,7153.675,7167.1100000000015,7175.151428571428,35.852910089630434,31.517682535901972,20.612134646710672,31.76991221056341,25.63436603048925,22.51778326597461,33.07619828579276,38.782285508223794,-20.7799641282546,-7.105427357601002e-15,-7.105427357601002e-15,43.795234455596656,0.0707810888883742,-21.495745947182737,49.98943228884382,2.5383946517585354,-0.7852062064513898,-1.5182541575349644,-3.908494099514754,-4.244634405554359,-5.595354172954167,-7.0210766595577825,-6.309210665089964,-2.4779897903771766,-5.433284262395318,-6.545895752862633,-9.913259219721114,-11.310558127149308,-14.060116437787654,-17.241108089280715,-18.106544761085388,-18.02068168828659,-4.6480780559439285,-5.02764159532767,-6.004765120206359,-7.065923721594948,-8.464762264833489,-10.220031429722932,-11.797334095995426,-15.542691897909412,0.0,0.0,0.0,65.69285168339499,32.952597475030075,17.079105658438444,100.0,89.31507892658226,20.7799641282546,7.105427357601002e-15,7.105427357601002e-15,21.89761722779834,32.8818163861417,38.57485160562118,50.01056771115618,86.77668427482374,1
7211.74125,7206.900625,7222.06625,7216.963125,7218.88625,7222.6175,7210.6425,7204.5215625,31.05957122734029,36.472164602757815,47.68303357872619,43.33819369416853,47.294395107435435,49.906702917487195,41.4074150033206,41.009587811366686,2.046635110255422,12.50599940879003,-1.2401074073365803,-23.60916339513505,17.063321490915346,-10.975142034410208,0.16343212387642106,5.7814985973777135,-5.995624679606656,-3.963940691163303,0.2714692198051181,1.1150447513999353,1.181665410475615,1.599849419546033,0.1054248886518897,-0.7438133510344462,-7.298087923153844,-10.237178576064252,-7.243492389684888,-5.253481353677671,-4.156589380103469,-2.2596540481947613,-2.94778665454578,-5.004180459013696,-1.3024632435471886,-6.27323788490095,-7.5149616094900065,-6.368526105077606,-5.338254790579084,-3.8595034677407942,-3.0532115431976696,-4.26036710797925,19.363420031534385,75.0,96.27967777799023,7.105718731217463,73.63995541837609,64.43966470526722,13.436236585921366,58.28399020719074,17.31678492127896,62.49400059120997,97.51978518532681,30.71488212635251,56.576633927460755,75.41480673967745,13.272804462044942,52.50249160981302,1
7224.799166666668,7234.988333333334,7242.283333333334,7238.918333333332,7231.434166666666,7192.1925,7197.4191666666675,7208.1641666666665,34.42840556566323,41.37477241956348,44.58213213287129,44.26327570354805,41.289269196771016,30.194086920403677,35.582842270490346,42.65209452027093,-18.72034657422847,23.30803721784932,-3.6759815096103376,-15.091024014691035,-10.706144565721596,5.5886067661807335,23.05404338715249,0.166596177205894,0.4777820212560625,2.613303251330978,4.601654617965469,4.501072416957147,3.082092639472627,-1.2415585690738429,-2.222763208640321,0.4804065668330034,-23.360654030375983,-19.901578995221215,-14.85886982722847,-11.429621037199466,-10.161045546984802,-14.172412360304403,-16.986548914097508,-14.615418137277324,-23.838436051632037,-22.5148822465522,-19.46052444519394,-15.930693454156616,-13.243138186457427,-12.930853791230565,-14.76378570545719,-15.09582470411033,33.382528692140674,96.72914277740936,92.22427254562305,53.547396435585966,20.31953598886168,12.537756402941346,76.77481188002264,87.14198188866432,52.10287526636914,73.42110555956005,95.90025405523339,68.63842045027701,31.025680554583282,6.9491496367606125,53.72076849287015,86.97538571145843,1
7513.5575,7498.8375,7485.645,7478.355,7484.64375,7484.86625,7472.50375,7484.8555,43.153209057114154,32.2591626220037,30.21272897002276,27.049416413790308,37.0002285984893,37.83347471832407,32.09528397852821,44.476945272646944,-6.961058428417478,-9.705608238249182,14.72374856058035,-8.627256564048604,42.40125552717935,-9.413355958300263,-39.084391565410755,19.27522656423009,-0.2851038591375079,-1.5944892388384326,-3.3661059323360303,-3.9474787127280373,-2.984870769658206,-1.648105328450705,-1.7156890902698123,0.347267699902336,-2.6530945338045058,-4.482870138221188,-7.827509161881608,-10.287538872909408,-11.008752441329307,-10.627899233358221,-11.507046343967884,-9.965521935708782,-2.3679906746669976,-2.8883808993827547,-4.461403229545579,-6.340060160181372,-8.0238816716711,-8.979793904907517,-9.791357253698074,-10.31278963561112,14.55841235737378,0.0,26.527073765383577,15.012432569948958,97.74662128556659,83.62658734811617,0.0,90.26662460836037,21.519470785791253,9.705608238249182,11.803325204803226,23.639689133997564,55.34536575838726,93.03994330641643,39.084391565410755,70.99139804413026,1
7426.063333333333,7399.12,7400.175,7402.71,7398.099166666668,7398.385833333333,7392.5808333333325,7393.078055555556,35.56300543647789,27.34642241116721,30.680009583425807,34.481197718061516,35.02947988141801,38.47543009371557,38.34253843077961,42.07122179929888,-13.444340100355364,-5.089029541549666,28.54247281508428,1.4210854715202004e-14,-8.416401929690528,-10.748195573688278,0.7137633108468128,6.150278064177365,0.9249275204365296,-1.1069489293990256,-1.284655856984158,0.6378821733609167,1.4606714520784436,2.0692379360765503,1.7200505521703169,1.9934076136766081,-16.499365258774258,-18.66049882527234,-20.01338561206042,-18.13448351468075,-16.336038195455938,-14.305858239131943,-13.276310294272056,-9.954597992535128,-17.424292779210788,-17.55354989587332,-18.728729755076266,-18.772365688041663,-17.79670964753438,-16.375096175208498,-14.996360846442373,-11.948005606211733,20.64413804808612,7.186290777373617,79.92105129917147,100.0,52.63061727163819,55.43470625407218,34.427787708607305,61.75328186370879,34.08847814844148,12.27532031892328,51.37857848408719,100.0,61.04701920132871,66.18290182776046,33.714024397760504,55.60300379953143,1
7531.845833333334,7507.156666666668,7494.32,7499.9775,7495.568333333334,7508.376666666666,7510.4725,7496.463888888888,50.962903385694865,38.21990952840901,35.70294049835836,40.849496088961686,39.691465212663886,48.86293734374426,49.818061772631,44.44762048238244,-18.564746125083907,-4.26986141502015,20.343352612468177,5.612838397412884,-17.377594851738127,22.87586756543633,-22.33991556848002,4.7211768816670885,3.3668955201132693,0.5322008936931498,-1.7956932961469854,-0.972898702716368,-0.4944215222804533,1.2334138228807583,2.7529875399187738,0.6196749053340018,-5.36762631820784,-6.935773812964423,-10.228064011523506,-10.426205767306481,-10.340251068059235,-8.326082144859962,-4.909808100318212,-5.64305469699957,-8.73452183832111,-7.4679747066575715,-8.43237071537652,-9.453307064590113,-9.845829545778784,-9.55949596774072,-7.662795640236986,-6.262729602333572,45.1179432963205,2.818304414631045,33.333333333333336,79.57764446298809,31.52639997351852,90.49602010194822,58.241737190306814,38.14593860263327,63.6826894214044,7.088165829651196,12.989980720865153,73.96480606557523,48.90399482525665,67.6201525365119,80.58165275878684,33.42476172096618,1
7391.166666666666,7347.9225,7327.120000000001,7337.0583333333325,7332.306666666666,7334.3083333333325,7312.931666666666,7300.835277777778,46.4619806894277,34.39039758576118,31.27076163705721,37.742837362312976,37.758345126937755,41.46545680070751,34.999465403258355,37.056773280323725,-24.63847526468898,4.480450272941214,1.9436217607151483,23.80700770678925,-29.124940719422945,25.821288525256342,-26.92742754627887,9.481652078471818,1.3002666266914789,-3.371397877638412,-6.358045075481511,-3.7770817113324817,-0.9895371473654476,0.7487547840673443,0.2450971563394665,-0.2604879737470039,-7.012392873774236,-12.75522578880282,-20.165516427818147,-21.312938660900425,-19.737462957773463,-17.987634836613324,-17.91011868172639,-19.297071896279,-8.312659500465715,-9.383827911164406,-13.807471352336636,-17.535856949567943,-18.747925810408013,-18.736389620680672,-18.15521583806586,-19.036583922531992,5.2477322074481085,6.720675409411801,19.079712320487584,95.34661961066836,36.651750396401134,88.20152325709125,16.9070016247761,52.8144814035219,29.886207472137087,2.2402251364705874,17.136090559772438,71.53961190387909,65.77669111582408,62.380234731834896,43.834429171054964,43.33282932505008,1
7194.940000000001,7164.5025,7145.4297916666665,7153.28375,7150.7352083333335,7137.045416666668,7144.241666666668,7132.244305555555,22.89107257003704,32.18356159310757,34.88522121084353,44.87041035358591,46.65436850945185,43.526933106571924,50.5009378481181,45.6262437323051,8.333333333333353,-2.7777777777777546,1.4643621866121903,-4.130096580700382,-1.749747309937098,5.485472253356296,-3.70177947045391,3.479194394943701,-8.871447127602364,1.297168102556812,3.0715931069644635,3.7385191285630937,1.2517871864435717,-0.2738139834448576,1.2485051741367452,-0.5936171081108008,-25.747681213411397,-30.700877769450244,-19.95408018472828,-7.500885144669838,-3.6171065123162407,-4.762758861318692,-1.304314019980363,-3.1722121895766877,-16.876234085809028,-31.99804587200705,-23.025673291692748,-11.239404273232932,-4.8688936987598135,-4.488944877873834,-2.552819194117108,-2.578595081465888,32.335202432269256,66.8605781479595,56.129379863649895,47.573236168955354,51.08628801173618,48.756996232653705,53.28733924916337,53.07979219034036,24.0018690989359,69.63835592573726,54.6650176770377,51.70333274965572,52.836035321673286,43.2715239792974,56.98911871961728,49.60059779539665,1
7354.864583333334,7309.281666666668,7325.003333333334,7320.1075,7307.198333333334,7315.522083333332,7314.710416666668,7300.728958333332,37.226576351979325,32.178034412523324,40.62737099655399,42.835556735099175,41.82141201009804,46.533088443703896,47.57202779110672,44.056002297294036,6.763282697794392,6.335128365805362,-15.601550090985565,2.9444627771779595,12.657087313807596,-3.8486417718514665,-2.7236825147925523,1.4360556639938409,-13.292068830569875,-11.494815450127053,-1.7924401366197191,1.5808101532800312,0.8763123986811227,2.596692774694358,2.4510314078083644,-0.19134543391333686,-2.5062587074618627,-19.862768164176334,-18.928099758695375,-14.84456434044599,-13.66218816003387,-9.133172318530796,-5.266758026257321,-5.850711440256647,10.78581012310801,-8.367952714049283,-17.135659622075657,-16.42537449372602,-14.538500558714993,-11.729865093225154,-7.7177894340656845,-5.659366006343308,23.830640784625288,35.29818110041636,59.256645255108396,56.207260473125324,66.59102583119207,76.2916970251691,51.869056878619574,40.82398172124447,17.067358086830893,28.963052734610997,74.85819534609395,53.26279769594736,53.93393851738447,80.14033879702056,54.59273939341213,39.38792605725063,1
6706.449166666666,6688.5075,6672.201666666668,6688.418333333332,6689.7575,6632.208333333332,6598.048333333332,6556.571944444445,27.722257203869066,27.76990687007898,29.236650299979196,34.273671926911405,33.82621485537663,26.536121112486445,29.784943931467385,31.00655304931251,16.19520653725254,-10.60060526048479,27.738732056565585,-4.736951571734002e-15,-28.736256670801264,-4.597076662532069,14.023233102779145,6.436700076851394,-9.084125835332612,-10.81304336346208,-7.949199254086075,0.7183057873390859,5.845969286297461,2.429999246131852,-0.2247271595714627,-0.3410075297947625,-55.12421569875005,-64.96698089764989,-69.34764078910727,-62.30370727553236,-53.64836565411285,-53.96383309266185,-56.23699093372852,-58.683301953266394,-46.040089863417435,-54.15393753418781,-61.39844153502119,-63.02201306287144,-59.49433494041031,-56.393832338793686,-56.01226377415706,-58.342294423471614,46.9597778032179,50.11713716363658,66.66666666666667,95.29568742048565,42.065874004902504,0.0,63.24118389969912,69.72817379839782,30.764571265965362,60.71774242412136,38.92793461010108,95.29568742048565,70.80213067570376,4.597076662532069,49.217950796919965,63.291473721546424,1
